t_now,current_phase,R2,v2,Eb,Pb,cool_beta,cool_delta,beta_plus_delta,Lgain,Lloss,ratio_F0,cum_Lloss,cum_Lgain,frac_cum,Eb_over_cumLgain,t_cool,t_dyn,F2_tcool_tdyn,F3_force_ratio,R2_over_rCloud,F_ram,F_rad,F_HII,pdot_total,c_sound
0.0034101956173628882,implicit,0.2708234345848041,32.09322261615386,315917.77361204283,2556506.5738638234,0.5908014739700078,-0.0022639887644158798,0.5885374852055919,202822122.8281413,69319996.96045491,0.6582227027611168,27531.415408345343,80553.66939455441,0.3417772972388831,3.921829706660135,0.004557382969769386,0.008438648802083447,0.5400607462943828,6.841263919183359,0.011562062818438718,2356292.825331035,235942.92227333167,2356292.825331035,108480.68908945078,602.3866748293
0.003807359734725029,implicit,0.28335322257306916,31.055004585286767,338906.06828394026,2393697.073835729,0.6075419143719551,-0.057727555927302325,0.5498143584446529,202822346.90090483,70178929.78271827,0.6539881780531492,49671.37099542824,144539.79409547205,0.34365187321782875,2.344724997048803,0.004829171224657186,0.009124237022567249,0.5292684980358415,6.96932050733385,0.01209698770794888,2415101.376086218,238052.56706232534,2415101.3760862183,108480.69590711257,600.734957273965
0.004122838406965125,implicit,0.29302388623686926,30.28178707808066,357091.02986247325,2279976.0688033155,0.6075419143719551,-0.057727555927302325,0.5498143584446529,202822475.4277437,71321307.59718771,0.64835599483354,77997.63517637906,225093.6035299364,0.3465120019103774,1.5864112718555408,0.005006793087407637,0.009676571778320616,0.5174139356486614,7.061937376406716,0.01250985013600378,2460062.83709191,239874.53387458986,2460062.8370919107,108480.69868676846,598.8842411643232
0.004520002524327266,implicit,0.30486852696689976,29.403035842570723,380279.0364179045,2155199.9289671346,0.6470557855939073,-0.09068274507054538,0.5563730405233619,202822575.4797704,72962736.8175759,0.6402632367477592,101015.82251059148,289079.80034261104,0.34943922885953893,1.3154811784400229,0.005211962338648179,0.010368607126122012,0.5026675497731504,7.184100865786061,0.013015524544839206,2517228.341689694,241908.08151368937,2517228.3416896947,108480.69903334815,595.9869370812124
0.004835481196567362,implicit,0.3140379900270825,28.74917310092528,397897.1613407914,2062801.501234607,0.6470557855939073,-0.09068274507054538,0.5563730405233619,202822606.27901083,73995654.72197434,0.6351705755117703,130404.24140687817,369633.66174650344,0.3527931974342478,1.0764635435548378,0.005377304421939639,0.010923374697583052,0.49227501306253296,7.259503148058383,0.013406989589493561,2556416.9056452587,243666.94369160238,2556416.905645259,108480.69692606086,594.2010559737266
0.005232645313929503,implicit,0.3253009454969795,27.997334059135785,420255.014462196,1959663.4140116991,0.6815526257030187,-0.09031369950763193,0.5912389261953868,202822584.28826,75866762.58757067,0.6259451931657393,168337.62270066352,471044.95389063354,0.35737061040621587,0.8921760247956506,0.0055393824664273575,0.011618997180584444,0.4767521998958539,7.359119077962092,0.013887830543541244,2605925.5249200733,245627.66002427952,2605925.5249200733,108480.69143912873,590.8731910308255
0.005732645313929504,implicit,0.3390770328792261,27.146429237093447,447253.43394490937,1841070.1085239544,0.6815526257030187,-0.09031369950763193,0.5912389261953868,202822461.18704182,77366015.3706221,0.6185530196319058,199064.6279091625,551598.757669202,0.36088665019898947,0.8108311117936394,0.0057810064509893734,0.012490667922391212,0.46282604636587427,7.459606585782048,0.014475962763155199,2659971.229318631,248102.6325775416,2659971.2293186313,108480.68032645459,588.2658768956419
0.006129809431291645,implicit,0.3497276739420686,26.509204333855806,468889.6977629087,1758758.9702412712,0.714921274009074,-0.09861630035389116,0.6163049736551829,202822288.36601567,79025435.41584027,0.6103710491953923,238577.34561708267,653009.9018522099,0.365350272546216,0.7180437791723232,0.005933402268466616,0.013192688454078552,0.44974929023146076,7.540800277201171,0.014930662635099507,2703187.6105094627,249994.22963783605,2703187.610509463,108480.6684021333,585.344566190637
0.006629809431291645,implicit,0.36279258991651625,25.78046087406556,494958.4477755717,1662759.3293930383,0.714921274009074,-0.09861630035389116,0.6163049736551829,202821977.35400474,80462755.49191771,0.6032838426011481,289225.6494129606,780678.7725328588,0.3704797153310418,0.6340103832588057,0.006151398181053955,0.014072385737738136,0.4371254665481244,7.620061606047355,0.015488433344439233,2750148.0446424633,252428.24919071302,2750148.044642464,108480.64982132635,582.8654077725412
0.007259272137188729,implicit,0.3787480035566918,24.95472045550493,527907.3201605415,1558243.6973775544,0.7491874443882371,-0.10941597539177089,0.6397714689964662,202821439.48943436,82686470.74942692,0.5923188842482585,330568.88478767406,882089.4922775759,0.37475662921019204,0.5984736523699793,0.006384446153958025,0.015177409189255864,0.4206545448137219,7.722088185024117,0.016169605913883615,2808962.5401171767,255276.23726820864,2808962.5401171767,108480.62134482255,579.1257778747643
0.0077592721371887285,implicit,0.39106598034783896,24.339432131168138,552926.360163029,1482436.995147303,0.7491874443882371,-0.10941597539177089,0.6397714689964662,202820897.5233839,83960319.87064385,0.5860371347535143,383418.7749214342,1009757.6832451201,0.37971364940667524,0.5475832165852462,0.006585567575432213,0.016067177666279853,0.40987706193436374,7.7911653246545,0.01669548810599767,2848958.895784708,257184.71637991245,2848958.895784708,108480.59517103265,576.8285600087717
0.008388734843085811,implicit,0.40615553264223114,23.634846642797545,584416.1385008143,1398365.4833647572,0.7491874443882371,-0.10941597539177089,0.6397714689964662,202820072.84210306,85520539.48663597,0.5783428223437512,451189.2353454198,1170481.7596160783,0.3854731025397707,0.4992953830331407,0.00683363484385104,0.01718460622066285,0.39766025221074,7.867399271157822,0.017339695103066998,2898780.336219057,259974.15404984585,2898780.3362190574,108480.55840463619,574.179820676562
0.009181181439316368,implicit,0.42455472521406395,22.841126813340114,624041.606452634,1307042.1632242503,0.79020627275487,-0.10978458294889613,0.6804216898059738,202818812.50194937,88044399.17547336,0.5658962889617198,506609.90108949615,1298148.6381403885,0.3902556966166988,0.48071660526222953,0.007087805837699146,0.01858729338020694,0.38132533299585947,7.959939455815721,0.018125198103020528,2960511.955467208,263445.934176093,2960511.955467208,108480.50721212476,569.9958458709162
0.009810644145213451,implicit,0.43874004224961927,22.25199994568753,653722.6745715278,1240473.5535652582,0.79020627275487,-0.10978458294889613,0.6804216898059738,202817637.93650228,89274920.0559787,0.5598266454324416,577355.5076166115,1458870.7849786913,0.39575506861976445,0.4481018341738033,0.007322579221147656,0.01971688132844202,0.3713862805769734,8.01144724481442,0.018730801258877418,3000626.3534058626,266061.89579705236,3000626.353405863,108480.46361848048,567.5696026928674
0.010603090741444008,implicit,0.45609536039168597,21.579334653543228,690930.9023340694,1166837.610466489,0.79020627275487,-0.10978458294889613,0.6804216898059738,202815944.9740248,90760623.49054451,0.5524975933121605,634485.935267876,1586535.8585011149,0.39991906383213344,0.4354965559913841,0.007612672497848705,0.02113574712632751,0.36017995731819025,8.079169356923968,0.019471738906685476,3050223.003932448,269061.2528320704,3050223.0039324486,108480.40636317368,564.7845264959392
